NEG;0;uaaaa;6;0x0;;DIRECT;NEG;2;NEG;M' = 0 - M
PSHS;2;-----;5;0x34;S;IMMEDIATE;PSH;2;PSHS;IFF b7 of postbyte set, then: SP' = SP-1, (SP) = PCL SP' = SP-1, (SP) = PCH IFF b6 of postbyte set, then: SP' = SP-1, (SP) = USL SP' = SP-1, (SP) = USH IFF b5 of postbyte set, then: SP' = SP-1, (SP) = IYL SP' = SP-1, (SP) = IYH IFF b4 of postbyte set, then: SP' = SP-1, (SP) = IXL SP' = SP-1, (SP) = IXH IFF b3 of postbyte set, then: SP' = SP-1, (SP) = DPR IFF b2 of postbyte set, then: SP' = SP-1, (SP) = ACCB IFF b1 of postbyte set, then: SP' = SP-1, (SP) = ACCA IFF b0 of postbyte set, then: SP' = SP-1, (SP) = CCR
PULS;2;ccccc;5;0x35;S;IMMEDIATE;PUL;2;PULS;IFF b0 of postbyte set, then: CCR' = (SP), SP' = SP+1 IFF b1 of postbyte set, then: ACCA' = (SP), SP' = SP+1 IFF b2 of postbyte set, then: ACCB' = (SP), SP' = SP+1 IFF b3 of postbyte set, then: DPR' = (SP), SP'  = SP+1 IFF b4 of postbyte set, then: IXH' IXL' = (SP), SP' = SP+1 = (SP), SP' = SP+1 IFF b5 of postbyte set, then: IYH' IYL' = (SP), SP' = SP+1 = (SP), SP' = SP+1 IFF b6 of postbyte set, then: USH' USL' = (SP), SP' = SP+1 = (SP), SP' = SP+1 IFF b7 of postbyte set, then: PCH' PCL' = (SP), SP' = SP+1 = (SP), SP' = SP+1
PSHU;2;-----;5;0x36;U;IMMEDIATE;PSH;2;PSHU;IFF b7 of postbyte set, then: US' = US-1, (US) = PCL US' = US-1, (US) = PCH IFF b6 of postbyte set, then: US' = US-1, (US) = SPL US' = US-1, (US) = SPH IFF b5 of postbyte set, then: US' = US-1, (US) = IYL US' = US-1, (US) = IYH IFF b4 of postbyte set, then: US' = US-1, (US) = IXL US' = US-1, (US) = IXH IFF b3 of postbyte set, then: US' = US-1, (US) = DPR IFF b2 of postbyte set, then: US' = US-1, (US) = ACCB IFF b1 of postbyte set, then: US' = US-1, (US) = ACCA IFF b0 of postbyte set, then: US' = US-1, (US) = CCR
PULU;2;ccccc;5;0x37;U;IMMEDIATE;PUL;2;PULU;IFF b0 of postbyte set, then: CCR' = (US), US' = US+1 IFF b1 of postbyte set, then: ACCA' = (US), US' = US+1 IFF b2 of postbyte set, then: ACCB' = (US), US' = US+1 IFF b3 of postbyte set, then: DPR' = (US), US' = US+1 IFF b4 of postbyte set, then: IXH' IXL' = (US), US' = US+1 = (US), US' = US+1 IFF b5 of postbyte set, then: IYH' IYL' = (US), US' = US+1 = (US), US' = US+1 IFF b6 of postbyte set, then: SPH' SPL' = (US), US' = US+1 = (US), US' = US+1 IFF b7 of postbyte set, then: PCH' PCL' = (US), US' = US+1 = (US), US' = US+1
ABX;2;-----;3;0x3a;;INHERENT;ABX;1;ABX;IX' = IX + ACCB
CMPX;2;-aaaa;4;0x8c;X;IMMEDIATE;CMP;3;CMP16;TEMP = R - M:M+1
LDX;2;-aa0-;3;0x8e;X;IMMEDIATE;LD;3;LD16;R' = M:M+1
CMPX;2;-aaaa;6;0x9c;X;DIRECT;CMP;2;CMP16;TEMP = R - M:M+1
LDX;2;-aa0-;5;0x9e;X;DIRECT;LD;2;LD16;R' = M:M+1
STX;2;-aa0-;5;0x9f;X;DIRECT;ST;2;ST16;M':M+1' = R
CMPX;2;-aaaa;6;0xac;X;INDEXED;CMP;2;CMP16;TEMP = R - M:M+1
LDX;2;-aa0-;5;0xae;X;INDEXED;LD;2;LD16;R' = M:M+1
STX;2;-aa0-;5;0xaf;X;INDEXED;ST;2;ST16;M':M+1' = R
CMPX;2;-aaaa;7;0xbc;X;EXTENDED;CMP;3;CMP16;TEMP = R - M:M+1
LDX;2;-aa0-;6;0xbe;X;EXTENDED;LD;3;LD16;R' = M:M+1
STX;2;-aa0-;6;0xbf;X;EXTENDED;ST;3;ST16;M':M+1' = R
LDU;2;-aa0-;3;0xce;U;IMMEDIATE;LD;3;LD16;R' = M:M+1
LDU;2;-aa0-;5;0xde;U;DIRECT;LD;2;LD16;R' = M:M+1
STU;2;-aa0-;5;0xdf;U;DIRECT;ST;2;ST16;M':M+1' = R
LDU;2;-aa0-;5;0xee;U;INDEXED;LD;2;LD16;R' = M:M+1
STU;2;-aa0-;5;0xef;U;INDEXED;ST;2;ST16;M':M+1' = R
LDU;2;-aa0-;6;0xfe;U;EXTENDED;LD;3;LD16;R' = M:M+1
STU;2;-aa0-;6;0xff;U;EXTENDED;ST;3;ST16;M':M+1' = R
CMPY;2;-aaaa;5;0x108c;Y;IMMEDIATE;CMP;4;CMP16;TEMP = R - M:M+1
LDY;2;-aa0-;4;0x108e;Y;IMMEDIATE;LD;4;LD16;R' = M:M+1
CMPY;2;-aaaa;7;0x109c;Y;DIRECT;CMP;3;CMP16;TEMP = R - M:M+1
LDY;2;-aa0-;6;0x109e;Y;DIRECT;LD;3;LD16;R' = M:M+1
STY;2;-aa0-;6;0x109f;Y;DIRECT;ST;3;ST16;M':M+1' = R
CMPY;2;-aaaa;7;0x10ac;Y;INDEXED;CMP;3;CMP16;TEMP = R - M:M+1
LDY;2;-aa0-;6;0x10ae;Y;INDEXED;LD;3;LD16;R' = M:M+1
STY;2;-aa0-;6;0x10af;Y;INDEXED;ST;3;ST16;M':M+1' = R
CMPY;2;-aaaa;8;0x10bc;Y;EXTENDED;CMP;4;CMP16;TEMP = R - M:M+1
LDY;2;-aa0-;7;0x10be;Y;EXTENDED;LD;4;LD16;R' = M:M+1
STY;2;-aa0-;7;0x10bf;Y;EXTENDED;ST;4;ST16;M':M+1' = R
LDS;2;-aa0-;4;0x10ce;S;IMMEDIATE;LD;4;LD16;R' = M:M+1
LDS;2;-aa0-;6;0x10de;S;DIRECT;LD;3;LD16;R' = M:M+1
STS;2;-aa0-;6;0x10df;S;DIRECT;ST;3;ST16;M':M+1' = R
LDS;2;-aa0-;6;0x10ee;S;INDEXED;LD;3;LD16;R' = M:M+1
STS;2;-aa0-;6;0x10ef;S;INDEXED;ST;3;ST16;M':M+1' = R
LDS;2;-aa0-;7;0x10fe;S;EXTENDED;LD;4;LD16;R' = M:M+1
STS;2;-aa0-;7;0x10ff;S;EXTENDED;ST;4;ST16;M':M+1' = R
CMPU;2;-aaaa;5;0x1183;U;IMMEDIATE;CMP;4;CMP16;TEMP = R - M:M+1
CMPS;2;-aaaa;5;0x118c;S;IMMEDIATE;CMP;4;CMP16;TEMP = R - M:M+1
CMPU;2;-aaaa;7;0x1193;U;DIRECT;CMP;3;CMP16;TEMP = R - M:M+1
CMPS;2;-aaaa;7;0x119c;S;DIRECT;CMP;3;CMP16;TEMP = R - M:M+1
CMPU;2;-aaaa;7;0x11a3;U;INDEXED;CMP;3;CMP16;TEMP = R - M:M+1
CMPS;2;-aaaa;7;0x11ac;S;INDEXED;CMP;3;CMP16;TEMP = R - M:M+1
CMPU;2;-aaaa;8;0x11b3;U;EXTENDED;CMP;4;CMP16;TEMP = R - M:M+1
CMPS;2;-aaaa;8;0x11bc;S;EXTENDED;CMP;4;CMP16;TEMP = R - M:M+1
BPL;3;-----;3;0x2a;;RELATIVE;BPL;2;BPL;TEMP = MI IFF N = 0 then PC' = PC + TEMP
BMI;3;-----;3;0x2b;;RELATIVE;BMI;2;BMI;TEMP = MI IFF N = 1 then PC' = PC + TEMP
LBPL;3;-----;5;0x102a;;RELATIVE;LBPL;4;BPL;TEMP = MI IFF N = 0 then PC' = PC + TEMP
LBMI;3;-----;5;0x102b;;RELATIVE;LBMI;4;BMI;TEMP = MI IFF N = 1 then PC' = PC + TEMP
BVC;4;-----;3;0x28;;RELATIVE;BVC;2;BVC;TEMP = MI IFF V = 0 then PC' = PC + TEMP
BVS;4;-----;3;0x29;;RELATIVE;BVS;2;BVS;TEMP' = MI IFF V = 1 then PC' = PC + TEMP
BGE;4;-----;3;0x2c;;RELATIVE;BGE;2;BGE;TEMP = MI IFF [N XOR V] = 0 then PC' = PC + TEMP
BLT;4;-----;3;0x2d;;RELATIVE;BLT;2;BLT;TEMP = MI IFF [ N XOR V ] = 1 then PC' = PC + TEMP
BGT;4;-----;3;0x2e;;RELATIVE;BGT;2;BGT;TEMP = MI IFF Z AND [N XOR V] = 0 then PC' = PC + TEMP
BLE;4;-----;3;0x2f;;RELATIVE;BLE;2;BLE;TEMP = MI IFF Z OR [ N XOR V ] = 1 then PC' = PC + TEMP
LBVC;4;-----;5;0x1028;;RELATIVE;LBVC;4;BVC;TEMP = MI IFF V = 0 then PC' = PC + TEMP
LBVS;4;-----;5;0x1029;;RELATIVE;LBVS;4;BVS;TEMP' = MI IFF V = 1 then PC' = PC + TEMP
LBGE;4;-----;5;0x102c;;RELATIVE;LBGE;4;BGE;TEMP = MI IFF [N XOR V] = 0 then PC' = PC + TEMP
LBLT;4;-----;5;0x102d;;RELATIVE;LBLT;4;BLT;TEMP = MI IFF [ N XOR V ] = 1 then PC' = PC + TEMP
LBGT;4;-----;5;0x102e;;RELATIVE;LBGT;4;BGT;TEMP = MI IFF Z AND [N XOR V] = 0 then PC' = PC + TEMP
LBLE;4;-----;5;0x102f;;RELATIVE;LBLE;4;BLE;TEMP = MI IFF Z OR [ N XOR V ] = 1 then PC' = PC + TEMP
BHI;5;-----;3;0x22;;RELATIVE;BHI;2;BHI;TEMP = MI IFF [ C OR Z ] = 0 then PC' = PC + TEMP
BLS;5;-----;3;0x23;;RELATIVE;BLS;2;BLS;TEMP = MI IFF (C OR Z) = 1 then PC' = PC + TEMP
BHS/BCC;5;-----;3;0x24;;RELATIVE;BCC;2;BCC;TEMP = MI IFF C = 0 then PC' = PC + TEMP
BLO/BCS;5;-----;3;0x25;;RELATIVE;BLO/BCS;2;OTHER_INSTRUCTIONS;
BNE;5;-----;3;0x26;;RELATIVE;BNE;2;BNE;TEMP = MI IFF Z = 0 then PC' = PC + TEMP
BEQ;5;-----;3;0x27;;RELATIVE;BEQ;2;BEQ;TEMP = MI IFF Z = 1 then PC' = PC + TEMP
LBHI;5;-----;5;0x1022;;RELATIVE;LBHI;4;BHI;TEMP = MI IFF [ C OR Z ] = 0 then PC' = PC + TEMP
LBLS;5;-----;5;0x1023;;RELATIVE;LBLS;4;BLS;TEMP = MI IFF (C OR Z) = 1 then PC' = PC + TEMP
LBHS/LBCC;5;-----;5;0x1024;;RELATIVE;LBHS/LBCC;4;OTHER_INSTRUCTIONS;
LBLO/LBCS;5;-----;5;0x1025;;RELATIVE;LBLO/LBCS;4;OTHER_INSTRUCTIONS;
LBNE;5;-----;5;0x1026;;RELATIVE;LBNE;4;BNE;TEMP = MI IFF Z = 0 then PC' = PC + TEMP
LBEQ;5;-----;5;0x1027;;RELATIVE;LBEQ;4;BEQ;TEMP = MI IFF Z = 1 then PC' = PC + TEMP
LBRA;6;-----;5;0x16;;RELATIVE;LBRA;3;BRA;TEMP = MI PC' = PC + TEMP
LBSR;6;-----;9;0x17;;RELATIVE;LBSR;3;BSR;TEMP = MI SP' = SP-1, (SP) = PCL SP' = SP-1, (SP) = PCH PC' = PC + TEMP
BRA;6;-----;3;0x20;;RELATIVE;BRA;2;BRA;TEMP = MI PC' = PC + TEMP
BRN;6;-----;3;0x21;;RELATIVE;BRN;2;BRN;TEMP = MI
BSR;6;-----;7;0x8d;;RELATIVE;BSR;2;BSR;TEMP = MI SP' = SP-1, (SP) = PCL SP' = SP-1, (SP) = PCH PC' = PC + TEMP
LBRN;6;-----;5;0x1021;;RELATIVE;LBRN;4;BRN;TEMP = MI
JMP;7;-----;3;0xe;;DIRECT;JMP;2;JMP;PC' = EA
NOP;7;-----;2;0x12;;INHERENT;NOP;1;NOP;Not affected.
SYNC;7;-----;2;0x13;;INHERENT;SYNC;1;SYNC;Stop processing instructions
ORCC;7;ddddd;3;0x1a;CC;IMMEDIATE;OR;2;ORCC;R' = R OR MI
ANDCC;7;ddddd;3;0x1c;CC;IMMEDIATE;AND;2;ANDCC;R' = R AND MI
RTS;7;-----;5;0x39;;INHERENT;RTS;1;RTS;PCH' = (SP), SP' = SP+1 PCL' = (SP), SP' = SP+1
RTI;7;-----;6;0x3b;;INHERENT;RTI;1;RTI;IFF CCR bit E is set, then: ACCA' ACCB' DPR' IXH' IXL' IYH' IYL' USH' USL' PCH' PCL' = (SP), SP' = SP+1 = (SP), SP' = SP+1 = (SP), SP' = SP+1 = (SP), SP' = SP+1 = (SP), SP' = SP+1 = (SP), SP' = SP+1 = (SP), SP' = SP+1 = (SP), SP' = SP+1 = (SP), SP' = SP+1 = (SP), SP' = SP+1 = (SP), SP' = SP+1 IFF CCR bit E is clear, then: PCH' PCL' = (SP), SP' = SP+1 = (SP), SP' = SP+1
CWAI;7;ddddd;21;0x3c;;IMMEDIATE;CWAI;2;CWAI;CCR = CCR AND MI (Possibly clear masks) Set E (entire state saved) SP' = SP-1, (SP) = PCL SP' = SP-1, (SP) = PCH SP' = SP-1, (SP) = USL SP' = SP-1, (SP) = USH SP' = SP-1, (SP) = IYL SP' = SP-1, (SP) = IYH SP' = SP-1, (SP) = IXL SP' = SP-1, (SP) = IXH SP' = SP-1, (SP) = DPR SP' = SP-1, (SP) = ACCB SP' = SP-1, (SP) = ACCA SP' = SP-1, (SP) = CCR
SWI;7;-----;19;0x3f;;INHERENT;SWI;1;SWI;Set E (entire state will be saved) SP' = SP-1, (SP) = PCL SP' = SP-1, (SP) = PCH SP' = SP-1, (SP) = USL SP' = SP-1, (SP) = USH SP' = SP-1, (SP) = IYL SP' = SP-1, (SP) = IYH SP' = SP-1, (SP) = IXL SP' = SP-1, (SP) = IXH SP' = SP-1, (SP) = DPR SP' = SP-1, (SP) = ACCB SP' = SP-1, (SP) = ACCA SP' = SP-1, (SP) = CCR Set I, F (mask interrupts) PC' = (FFFA):(FFFB)
JMP;7;-----;3;0x6e;;INDEXED;JMP;2;JMP;PC' = EA
JMP;7;-----;3;0x7e;;EXTENDED;JMP;3;JMP;PC' = EA
JSR;7;-----;7;0x9d;;DIRECT;JSR;2;JSR;SP' = SP-1, (SP) = PCL SP' = SP-1, (SP) = PCH PC' =EA
JSR;7;-----;7;0xad;;INDEXED;JSR;2;JSR;SP' = SP-1, (SP) = PCL SP' = SP-1, (SP) = PCH PC' =EA
JSR;7;-----;8;0xbd;;EXTENDED;JSR;3;JSR;SP' = SP-1, (SP) = PCL SP' = SP-1, (SP) = PCH PC' =EA
SWI2;7;-----;20;0x103f;;INHERENT;SWI;2;SWI2;Set E (entire state saved) SP' = SP-1, (SP) = PCL SP' = SP-1, (SP) = PCH SP' = SP-1, (SP) = USL SP' = SP-1, (SP) = USH SP' = SP-1, (SP) = IYL SP' = SP-1, (SP) = IYH SP' = SP-1, (SP) = IXL SP' = SP-1, (SP) = IXH SP' = SP-1, (SP) = DPR SP' = SP-1, (SP) = ACCB SP' = SP-1, (SP) = ACCA SP' = SP-1, (SP) = CCR PC' = (FFF4):(FFF5)
SWI3;7;-----;20;0x113f;;INHERENT;SWI;2;SWI3;Set E (entire state will be saved) SP' = SP-1, (SP) = PCL SP' = SP-1, (SP) = PCH SP' = SP-1, (SP) = USL SP' = SP-1, (SP) = USH SP' = SP-1, (SP) = IYL SP' = SP-1, (SP) = IYH SP' = SP-1, (SP) = IXL SP' = SP-1, (SP) = IXH SP' = SP-1, (SP) = DPR SP' = SP-1, (SP) = ACCB SP' = SP-1, (SP) = ACCA SP' = SP-1, (SP) = CCR PC' = (FFF2):(FFF3)
PAGE1+;8;+++++;1;0x10;;VARIANT;PAGE;1;PAGE;
PAGE2+;8;+++++;1;0x11;;VARIANT;PAGE;1;PAGE;
RESET*;8;*****;-1;0x3e;;INHERENT;RESET;1;RESET;
